Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	C_1_1 Spectral Count	C_1_2 Spectral Count	C_1_3 Spectral Count	C_1_4 Spectral Count	C_1_5 Spectral Count	C_1_6 Spectral Count	C_1_7 Spectral Count	C_1_8 Spectral Count	C_2_1 Spectral Count	C_2_2 Spectral Count	C_2_3 Spectral Count	C_2_4 Spectral Count	C_2_5 Spectral Count	C_2_6 Spectral Count	C_2_7 Spectral Count	C_2_8 Spectral Count	T_1_1 Spectral Count	T_1_2 Spectral Count	T_1_3 Spectral Count	T_1_4 Spectral Count	T_1_5 Spectral Count	T_1_6 Spectral Count	T_1_7 Spectral Count	T_1_8 Spectral Count	T_2_1 Spectral Count	T_2_2 Spectral Count	T_2_3 Spectral Count	T_2_4 Spectral Count	T_2_5 Spectral Count	T_2_6 Spectral Count	T_2_7 Spectral Count	T_2_8 Spectral Count	T_3_1 Spectral Count	T_3_2 Spectral Count	T_3_3 Spectral Count	T_3_4 Spectral Count	T_3_5 Spectral Count	T_3_6 Spectral Count	T_3_7 Spectral Count	T_3_8 Spectral Count	C_1_1 Unique Spectral Count	C_1_2 Unique Spectral Count	C_1_3 Unique Spectral Count	C_1_4 Unique Spectral Count	C_1_5 Unique Spectral Count	C_1_6 Unique Spectral Count	C_1_7 Unique Spectral Count	C_1_8 Unique Spectral Count	C_2_1 Unique Spectral Count	C_2_2 Unique Spectral Count	C_2_3 Unique Spectral Count	C_2_4 Unique Spectral Count	C_2_5 Unique Spectral Count	C_2_6 Unique Spectral Count	C_2_7 Unique Spectral Count	C_2_8 Unique Spectral Count	T_1_1 Unique Spectral Count	T_1_2 Unique Spectral Count	T_1_3 Unique Spectral Count	T_1_4 Unique Spectral Count	T_1_5 Unique Spectral Count	T_1_6 Unique Spectral Count	T_1_7 Unique Spectral Count	T_1_8 Unique Spectral Count	T_2_1 Unique Spectral Count	T_2_2 Unique Spectral Count	T_2_3 Unique Spectral Count	T_2_4 Unique Spectral Count	T_2_5 Unique Spectral Count	T_2_6 Unique Spectral Count	T_2_7 Unique Spectral Count	T_2_8 Unique Spectral Count	T_3_1 Unique Spectral Count	T_3_2 Unique Spectral Count	T_3_3 Unique Spectral Count	T_3_4 Unique Spectral Count	T_3_5 Unique Spectral Count	T_3_6 Unique Spectral Count	T_3_7 Unique Spectral Count	T_3_8 Unique Spectral Count	C_1_1 Total Spectral Count	C_1_2 Total Spectral Count	C_1_3 Total Spectral Count	C_1_4 Total Spectral Count	C_1_5 Total Spectral Count	C_1_6 Total Spectral Count	C_1_7 Total Spectral Count	C_1_8 Total Spectral Count	C_2_1 Total Spectral Count	C_2_2 Total Spectral Count	C_2_3 Total Spectral Count	C_2_4 Total Spectral Count	C_2_5 Total Spectral Count	C_2_6 Total Spectral Count	C_2_7 Total Spectral Count	C_2_8 Total Spectral Count	T_1_1 Total Spectral Count	T_1_2 Total Spectral Count	T_1_3 Total Spectral Count	T_1_4 Total Spectral Count	T_1_5 Total Spectral Count	T_1_6 Total Spectral Count	T_1_7 Total Spectral Count	T_1_8 Total Spectral Count	T_2_1 Total Spectral Count	T_2_2 Total Spectral Count	T_2_3 Total Spectral Count	T_2_4 Total Spectral Count	T_2_5 Total Spectral Count	T_2_6 Total Spectral Count	T_2_7 Total Spectral Count	T_2_8 Total Spectral Count	T_3_1 Total Spectral Count	T_3_2 Total Spectral Count	T_3_3 Total Spectral Count	T_3_4 Total Spectral Count	T_3_5 Total Spectral Count	T_3_6 Total Spectral Count	T_3_7 Total Spectral Count	T_3_8 Total Spectral Count	C_1_1 Intensity	C_1_2 Intensity	C_1_3 Intensity	C_1_4 Intensity	C_1_5 Intensity	C_1_6 Intensity	C_1_7 Intensity	C_1_8 Intensity	C_2_1 Intensity	C_2_2 Intensity	C_2_3 Intensity	C_2_4 Intensity	C_2_5 Intensity	C_2_6 Intensity	C_2_7 Intensity	C_2_8 Intensity	T_1_1 Intensity	T_1_2 Intensity	T_1_3 Intensity	T_1_4 Intensity	T_1_5 Intensity	T_1_6 Intensity	T_1_7 Intensity	T_1_8 Intensity	T_2_1 Intensity	T_2_2 Intensity	T_2_3 Intensity	T_2_4 Intensity	T_2_5 Intensity	T_2_6 Intensity	T_2_7 Intensity	T_2_8 Intensity	T_3_1 Intensity	T_3_2 Intensity	T_3_3 Intensity	T_3_4 Intensity	T_3_5 Intensity	T_3_6 Intensity	T_3_7 Intensity	T_3_8 Intensity	C_1_1 MaxLFQ Intensity	C_1_2 MaxLFQ Intensity	C_1_3 MaxLFQ Intensity	C_1_4 MaxLFQ Intensity	C_1_5 MaxLFQ Intensity	C_1_6 MaxLFQ Intensity	C_1_7 MaxLFQ Intensity	C_1_8 MaxLFQ Intensity	C_2_1 MaxLFQ Intensity	C_2_2 MaxLFQ Intensity	C_2_3 MaxLFQ Intensity	C_2_4 MaxLFQ Intensity	C_2_5 MaxLFQ Intensity	C_2_6 MaxLFQ Intensity	C_2_7 MaxLFQ Intensity	C_2_8 MaxLFQ Intensity	T_1_1 MaxLFQ Intensity	T_1_2 MaxLFQ Intensity	T_1_3 MaxLFQ Intensity	T_1_4 MaxLFQ Intensity	T_1_5 MaxLFQ Intensity	T_1_6 MaxLFQ Intensity	T_1_7 MaxLFQ Intensity	T_1_8 MaxLFQ Intensity	T_2_1 MaxLFQ Intensity	T_2_2 MaxLFQ Intensity	T_2_3 MaxLFQ Intensity	T_2_4 MaxLFQ Intensity	T_2_5 MaxLFQ Intensity	T_2_6 MaxLFQ Intensity	T_2_7 MaxLFQ Intensity	T_2_8 MaxLFQ Intensity	T_3_1 MaxLFQ Intensity	T_3_2 MaxLFQ Intensity	T_3_3 MaxLFQ Intensity	T_3_4 MaxLFQ Intensity	T_3_5 MaxLFQ Intensity	T_3_6 MaxLFQ Intensity	T_3_7 MaxLFQ Intensity	T_3_8 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	0.49	0.9829	1	15	15	15	1	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	9.9341126E8	0.0	9.8688192E8	9.819639E8	7.6990408E7	0.0	0.0	0.0	0.0	1.20710976E9	0.0	0.0	0.0	0.0	0.0	0.0	9.4457683E8	0.0	9.7459616E8	7.776832E8	0.0	0.0	0.0	0.0	1.03456858E9	8.496041E8	7.5964192E8	0.0	0.0	0.0	0.0	0.0	0.0	4.4915424E8	0.0	7.1233107E8	0.0	0.0	0.0	0.0	9.9341126E8	0.0	9.8688192E8	9.819639E8	7.6990408E7	0.0	0.0	0.0	0.0	1.20710976E9	0.0	0.0	0.0	0.0	0.0	0.0	9.4457683E8	0.0	9.7459616E8	7.776832E8	0.0	0.0	0.0	0.0	1.03456858E9	8.496041E8	7.5964192E8	0.0	0.0	0.0	0.0	0.0	0.0	4.4915424E8	0.0	7.1233107E8	0.0	0.0	0.0	0.0	
contam_sp|P00330|ADH1_YEAST	P00330	ADH1_YEAST	ADH1	348	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Alcohol dehydrogenase 1	0.8	0.9666	2	26	26	26	1	1	1	1	1	0	0	0	2	1	1	1	0	0	0	0	1	0	0	2	1	0	0	0	1	2	1	3	1	0	0	0	0	0	2	1	1	0	0	0	1	1	1	1	1	0	0	0	2	1	1	1	0	0	0	0	1	0	0	2	1	0	0	0	1	2	1	3	1	0	0	0	0	0	2	1	1	0	0	0	1	1	1	1	1	0	0	0	2	1	1	1	0	0	0	0	1	0	0	2	1	0	0	0	1	2	1	3	1	0	0	0	0	0	2	1	1	0	0	0	1.81125862E9	1.20797064E8	2.26606362E9	2.53450342E9	3.93639328E8	0.0	0.0	0.0	1.42306784E8	8.8235112E7	1.28449192E8	1.6355799E9	0.0	0.0	0.0	0.0	1.30894694E9	0.0	0.0	1.7320832E9	5.5345658E8	0.0	0.0	0.0	5.9652412E7	1.01844112E8	6.7650288E7	8.7508528E7	1.97946384E8	0.0	0.0	0.0	1.05409139E9	0.0	1.3989704E8	1.35100816E8	1.41661414E9	0.0	0.0	0.0	5.06182624E8	5.00059904E8	5.9710176E8	1.50311731E9	2.33452464E8	0.0	0.0	0.0	1.12111408E8	3.65264192E8	5.31737184E8	6.1709901E8	0.0	0.0	0.0	0.0	3.6073296E8	0.0	0.0	4.49511072E8	3.28233984E8	0.0	0.0	0.0	2.46941264E8	8.364828E7	2.80049824E8	7.1652936E7	1.17394448E8	0.0	0.0	0.0	6.2514138E8	0.0	5.7912749E8	5.592727E8	8.4013978E8	0.0	0.0	0.0	
contam_sp|P00722|BGAL_ECOLI	P00722	BGAL_ECOLI	lacZ	1024	Escherichia coli (strain K12)	1:Experimental evidence at protein level	Beta-galactosidase	1.0	0.999	4	23	23	23	0	1	3	0	0	0	0	0	1	1	2	3	0	0	0	0	1	0	3	0	0	0	0	0	1	0	1	2	0	0	0	0	1	1	1	1	0	0	0	0	0	1	3	0	0	0	0	0	1	1	2	3	0	0	0	0	1	0	3	0	0	0	0	0	1	0	1	2	0	0	0	0	1	1	1	1	0	0	0	0	0	1	3	0	0	0	0	0	1	1	2	3	0	0	0	0	1	0	3	0	0	0	0	0	1	0	1	2	0	0	0	0	1	1	1	1	0	0	0	0	0.0	5.5270068E7	1.08484176E8	0.0	0.0	0.0	0.0	0.0	0.0	7.8789088E7	1.32331536E8	1.55333264E8	0.0	0.0	0.0	0.0	0.0	0.0	1.17103704E8	0.0	0.0	0.0	0.0	0.0	3.3387912E7	0.0	4.543066E7	4.9369532E7	0.0	0.0	0.0	0.0	1.805817E7	2.3714334E7	5.2856048E7	4.173832E7	0.0	0.0	0.0	0.0	0.0	6.0303196E7	3.9666148E7	0.0	0.0	0.0	0.0	0.0	0.0	8.596396E7	6.7038668E7	5.4787916E7	0.0	0.0	0.0	0.0	0.0	0.0	5.6601596E7	0.0	0.0	0.0	0.0	0.0	3.6428356E7	0.0	4.3034828E7	2.598092E7	0.0	0.0	0.0	0.0	1.9702624E7	2.5873862E7	5.7669344E7	3.9537208E7	0.0	0.0	0.0	0.0	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	0.94	0.999	1	82	82	82	3	3	3	3	6	0	0	0	2	2	4	4	3	0	0	0	3	0	3	5	4	0	0	0	3	3	4	4	3	0	0	0	4	0	1	7	5	0	0	0	3	3	3	3	6	0	0	0	2	2	4	4	3	0	0	0	3	0	3	5	4	0	0	0	3	3	4	4	3	0	0	0	4	0	1	7	5	0	0	0	3	3	3	3	6	0	0	0	2	2	4	4	3	0	0	0	3	0	3	5	4	0	0	0	3	3	4	4	3	0	0	0	4	0	1	7	5	0	0	0	4.70271648E8	7.0935923E8	3.35855904E8	4.23907296E8	4.7040284E7	0.0	0.0	0.0	5.9074259E8	4.27566304E8	5.25715808E8	5.3892582E8	1.7364012E7	0.0	0.0	0.0	6.0733722E8	0.0	5.15758208E8	7.7573325E8	1.29638176E8	0.0	0.0	0.0	5.8274509E8	5.8680006E8	6.0548563E8	3.95817312E8	1.9208208E7	0.0	0.0	0.0	7.1597837E8	0.0	3.81526784E8	6.478329E8	1.8120024E8	0.0	0.0	0.0	4.70271648E8	7.0935923E8	3.35855904E8	4.23907296E8	4.7040284E7	0.0	0.0	0.0	5.9074259E8	4.27566304E8	5.25715808E8	5.3892582E8	1.7364012E7	0.0	0.0	0.0	6.0733722E8	0.0	5.15758208E8	7.7573325E8	1.29638176E8	0.0	0.0	0.0	5.8274509E8	5.8680006E8	6.0548563E8	3.95817312E8	1.9208208E7	0.0	0.0	0.0	7.1597837E8	0.0	3.81526784E8	6.478329E8	1.8120024E8	0.0	0.0	0.0	
rev_sp|P00959|SYM_ECOLI	rev_P00959	rev_SYM_ECOLI	rev_metG	677	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Methionine--tRNA ligase	0.6	0.9617	2	3	3	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2192792E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4350832.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2266509.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4350832.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2266509.2	0.0	0.0	
rev_sp|P05523|FPG_ECOLI	rev_P05523	rev_FPG_ECOLI	rev_mutM	269	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Formamidopyrimidine-DNA glycosylase	0.76	0.9624	1	8	8	8	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0	0.0	0.0	2.8980496E8	0.0	0.0	0.0	0.0	0.0	5.1994608E7	9.6471168E7	5.6942944E8	0.0	0.0	0.0	0.0	0.0	0.0	1.73946608E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85636864E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71309168E8	0.0	0.0	0.0	0.0	0.0	2.11291808E8	3.92032352E8	2.70942528E8	0.0	0.0	0.0	0.0	0.0	0.0	9.6867776E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0973344E8	0.0	0.0	0.0	0.0	0.0	0.0	
rev_sp|P06611|BTUD_ECOLI	rev_P06611	rev_BTUD_ECOLI	rev_btuD	249	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Vitamin B12 import ATP-binding protein BtuD	0.43	0.978	1	4	4	4	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	3.088298E7	0.0	0.0	0.0	0.0	0.0	0.0	3.9033764E7	2.8074202E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.088298E7	0.0	0.0	0.0	0.0	0.0	0.0	3.9033764E7	2.8074202E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
rev_sp|P08200|IDH_ECOLI	rev_P08200	rev_IDH_ECOLI	rev_icd	416	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Isocitrate dehydrogenase [NADP]	0.56	0.9869	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9233968E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
rev_sp|P0A6E4|ASSY_ECOLI	rev_P0A6E4	rev_ASSY_ECOLI	rev_argG	447	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Argininosuccinate synthase	0.43	0.9788	1	3	3	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	1.64588672E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3134579E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.791367E8	0.0	0.0	0.0	0.0	0.0	0.0	1.64588672E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3134579E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.791367E8	0.0	0.0	0.0	0.0	
rev_sp|P0A6F1|CARA_ECOLI	rev_P0A6F1	rev_CARA_ECOLI	rev_carA	382	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Carbamoyl-phosphate synthase small chain	1.0	0.9952	2	12	12	12	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0.0	4.08206272E8	0.0	2.87660576E8	0.0	0.0	0.0	0.0	0.0	4.11887104E8	0.0	0.0	0.0	0.0	0.0	0.0	3.18289568E8	0.0	2.73458912E8	0.0	0.0	0.0	0.0	0.0	3.90727232E8	2.79120717E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25588531E9	0.0	5.22988864E8	0.0	0.0	0.0	0.0	5.6049357E8	0.0	3.94976544E8	0.0	0.0	0.0	0.0	0.0	5.6554758E8	0.0	0.0	0.0	0.0	0.0	0.0	3.18289568E8	0.0	3.75476736E8	0.0	0.0	0.0	0.0	0.0	5.36493696E8	8.9966496E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.888457E8	0.0	5.22988864E8	0.0	0.0	0.0	
