Protein ID,GO ID,Function,Link
A0A109LKV5,NA,NA,https://www.uniprot.org/uniprotkb/A0A109LKV5
A0A2N1E3H8,NA,NA,https://www.uniprot.org/uniprotkb/A0A2N1E3H8
A0A5E7HGL6,GO:0003700|GO:0000976,DNA-binding transcription factor activity|transcription cis-regulatory region binding,https://www.uniprot.org/uniprotkb/A0A5E7HGL6
A0A4U3GF83,NA,NA,https://www.uniprot.org/uniprotkb/A0A4U3GF83
A0A4Y9TIK2,GO:0003700|GO:2000142|GO:0003677,DNA-binding transcription factor activity|regulation of DNA-templated transcription initiation|DNA binding,https://www.uniprot.org/uniprotkb/A0A4Y9TIK2
A0A0C1WQB0,GO:0003677|GO:0005829|GO:0030527|GO:0030261,DNA binding|cytosol|structural constituent of chromatin|chromosome condensation,https://www.uniprot.org/uniprotkb/A0A0C1WQB0
A0A109LGP9,GO:0006351|GO:0006355,DNA-templated transcription|regulation of DNA-templated transcription,https://www.uniprot.org/uniprotkb/A0A109LGP9
A0A120FZP3,GO:0016020,membrane,https://www.uniprot.org/uniprotkb/A0A120FZP3
A0A109KQG7,NA,NA,https://www.uniprot.org/uniprotkb/A0A109KQG7
A0A125QET0,GO:0051213,dioxygenase activity,https://www.uniprot.org/uniprotkb/A0A125QET0
A0A0F4VAJ2,GO:0003735|GO:0006412|GO:0022625,structural constituent of ribosome|translation|cytosolic large ribosomal subunit,https://www.uniprot.org/uniprotkb/A0A0F4VAJ2
A0A0F4UZ82,GO:0045263|GO:0042777|GO:0005886|GO:0046933,"proton-transporting ATP synthase complex, coupling factor F(o)|proton motive force-driven plasma membrane ATP synthesis|plasma membrane|proton-transporting ATP synthase activity, rotational mechanism",https://www.uniprot.org/uniprotkb/A0A0F4UZ82
A0A5E6QS17,GO:0003700|GO:0003690|GO:0005829,DNA-binding transcription factor activity|double-stranded DNA binding|cytosol,https://www.uniprot.org/uniprotkb/A0A5E6QS17
A0A075P5K2,GO:0003735|GO:0006412|GO:0015934,structural constituent of ribosome|translation|large ribosomal subunit,https://www.uniprot.org/uniprotkb/A0A075P5K2
A0A120G7R2,GO:0050135,NADP+ nucleosidase activity,https://www.uniprot.org/uniprotkb/A0A120G7R2
A0A4Y9TM77,GO:0006935|GO:0005886|GO:0007165,chemotaxis|plasma membrane|signal transduction,https://www.uniprot.org/uniprotkb/A0A4Y9TM77
A0A2N1DZ50,NA,NA,https://www.uniprot.org/uniprotkb/A0A2N1DZ50
A0A3S4PJX3,GO:0003746|GO:0097216|GO:0005829|GO:0005525|GO:0003924,translation elongation factor activity|guanosine tetraphosphate binding|cytosol|GTP binding|GTPase activity,https://www.uniprot.org/uniprotkb/A0A3S4PJX3
A0A0B7D5W0,GO:0043190|GO:0015184,ATP-binding cassette (ABC) transporter complex|L-cystine transmembrane transporter activity,https://www.uniprot.org/uniprotkb/A0A0B7D5W0
A0A5E6U225,GO:0016020|GO:0003796|GO:0006935|GO:0004888|GO:0007165,membrane|lysozyme activity|chemotaxis|transmembrane signaling receptor activity|signal transduction,https://www.uniprot.org/uniprotkb/A0A5E6U225
A0A109LIS8,GO:0005737|GO:0055130|GO:0008718|GO:0005886,cytoplasm|D-alanine catabolic process|D-amino-acid dehydrogenase activity|plasma membrane,https://www.uniprot.org/uniprotkb/A0A109LIS8
A0A0F4T1M6,GO:0003677|GO:0005829|GO:0030527,DNA binding|cytosol|structural constituent of chromatin,https://www.uniprot.org/uniprotkb/A0A0F4T1M6
A0A4Y9TI77,GO:0003677,DNA binding,https://www.uniprot.org/uniprotkb/A0A4Y9TI77
A0A120FZQ2,GO:0005975|GO:0042972,carbohydrate metabolic process|licheninase activity,https://www.uniprot.org/uniprotkb/A0A120FZQ2
A0A5E6PFL0,GO:0008053|GO:0003924,mitochondrial fusion|GTPase activity,https://www.uniprot.org/uniprotkb/A0A5E6PFL0
A0A0B7DJU9,NA,NA,https://www.uniprot.org/uniprotkb/A0A0B7DJU9
A0A0C1ZYA4,GO:0009245|GO:0000036|GO:0000035|GO:0036104|GO:0031177|GO:0005829,lipid A biosynthetic process|acyl carrier activity|acyl binding|Kdo2-lipid A biosynthetic process|phosphopantetheine binding|cytosol,https://www.uniprot.org/uniprotkb/A0A0C1ZYA4
A0A1X9LV78,GO:0009372|GO:0061579|GO:0007165,quorum sensing|N-acyl homoserine lactone synthase activity|signal transduction,https://www.uniprot.org/uniprotkb/A0A1X9LV78
