Protein ID,GO ID,Function,Link
P00350,GO:0009051|GO:0046177|GO:0097216|GO:0004616|GO:0050661|GO:0042802|GO:0042803|GO:0005829|GO:0006098,"pentose-phosphate shunt, oxidative branch|D-gluconate catabolic process|guanosine tetraphosphate binding|phosphogluconate dehydrogenase (decarboxylating) activity|NADP binding|identical protein binding|protein homodimerization activity|cytosol|pentose-phosphate shunt",https://www.uniprot.org/uniprotkb/P00350
P02920,GO:0016020|GO:0015767|GO:0015528|GO:0008643|GO:0005886|GO:0005351|GO:0030395|GO:0071702,membrane|lactose transport|lactose:proton symporter activity|carbohydrate transport|plasma membrane|carbohydrate:proton symporter activity|lactose binding|obsolete organic substance transport,https://www.uniprot.org/uniprotkb/P02920
P02929,GO:0016020|GO:0098002|GO:0015891|GO:0015889|GO:0009279|GO:1902495|GO:0006879|GO:0031992|GO:0098797|GO:0015031|GO:0030003|GO:0005886|GO:0030313|GO:0030288|GO:0042914|GO:0055085|GO:0019904,membrane|receptor-mediated bacteriophage irreversible attachment to host cell|siderophore transport|cobalamin transport|cell outer membrane|transmembrane transporter complex|intracellular iron ion homeostasis|energy transducer activity|plasma membrane protein complex|protein transport|intracellular monoatomic cation homeostasis|plasma membrane|cell envelope|outer membrane-bounded periplasmic space|colicin transport|transmembrane transport|protein domain specific binding,https://www.uniprot.org/uniprotkb/P02929
P06609,GO:0016020|GO:0015889|GO:1990191|GO:1990193|GO:0043190|GO:0005886|GO:0042802|GO:0015420|GO:0022857,membrane|cobalamin transport|cobalamin transport complex|BtuCD complex|ATP-binding cassette (ABC) transporter complex|plasma membrane|identical protein binding|ABC-type vitamin B12 transporter activity|transmembrane transporter activity,https://www.uniprot.org/uniprotkb/P06609
P06999,GO:0003872|GO:0009024|GO:0000287|GO:0006974|GO:0042802|GO:0042803|GO:0005829|GO:0005524|GO:0006096,6-phosphofructokinase activity|tagatose-6-phosphate kinase activity|magnesium ion binding|DNA damage response|identical protein binding|protein homodimerization activity|cytosol|ATP binding|glycolytic process,https://www.uniprot.org/uniprotkb/P06999
P07762,GO:0003844|GO:0004553|GO:0102752|GO:0006974|GO:0005737|GO:0043169|GO:0005829|GO:0005978,"1,4-alpha-glucan branching enzyme activity|hydrolase activity, hydrolyzing O-glycosyl compounds|obsolete 1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)|DNA damage response|cytoplasm|cation binding|cytosol|glycogen biosynthetic process",https://www.uniprot.org/uniprotkb/P07762
P08192,GO:0006730|GO:0009396|GO:0097216|GO:0004326|GO:0008841|GO:0005737|GO:0005524|GO:0046656|GO:0046654|GO:0046872,one-carbon metabolic process|folic acid-containing compound biosynthetic process|guanosine tetraphosphate binding|tetrahydrofolylpolyglutamate synthase activity|dihydrofolate synthase activity|cytoplasm|ATP binding|folic acid biosynthetic process|tetrahydrofolate biosynthetic process|metal ion binding,https://www.uniprot.org/uniprotkb/P08192
P08369,GO:0005886,plasma membrane,https://www.uniprot.org/uniprotkb/P08369
P09372,GO:0043335|GO:0051087|GO:0065003|GO:0051085|GO:0051082|GO:0005737|GO:0042803|GO:0005829|GO:0032991|GO:0019904|GO:0000774|GO:0009408,protein unfolding|protein-folding chaperone binding|protein-containing complex assembly|chaperone cofactor-dependent protein refolding|unfolded protein binding|cytoplasm|protein homodimerization activity|cytosol|protein-containing complex|protein domain specific binding|adenyl-nucleotide exchange factor activity|response to heat,https://www.uniprot.org/uniprotkb/P09372
P09551,GO:0016020|GO:0015822|GO:1902022|GO:0071294|GO:0009267|GO:0006995|GO:0089718|GO:0030288|GO:0055052,"membrane|ornithine transport|L-lysine transport|cellular response to zinc ion|cellular response to starvation|cellular response to nitrogen starvation|amino acid import across plasma membrane|outer membrane-bounded periplasmic space|ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",https://www.uniprot.org/uniprotkb/P09551
